time[s],Angle - sensor1.phi [rad],Angle - sensor2.phi [rad]
2.888,1.60839244153153,1.63018187036279
2.889,1.60837676826267,1.63015898646817
2.89,1.60836110317448,1.63013611373825
2.891,1.60834544626322,1.63011325216755
2.892,1.60832979752511,1.63009040175056
2.893,1.60831415695643,1.6300675624818
2.894,1.60829852455341,1.63004473435577
2.895,1.60828290031229,1.63002191736698
2.896,1.60826728422932,1.62999911150995
2.897,1.60825167630075,1.62997631677921
2.898,1.6082360765228,1.62995353316927
2.899,1.60822048489172,1.62993076067465
2.9,1.60820490140375,1.62990799928989
2.901,1.60818932605511,1.62988524900952
2.902,1.60817375884205,1.62986250982806
2.903,1.60815819976079,1.62983978174006
2.904,1.60814264880756,1.62981706474006
2.905,1.60812710597859,1.6297943588226
2.906,1.60811157127011,1.62977166398222
2.907,1.60809604467834,1.62974898021348
2.908,1.60808052619952,1.62972630751092
2.909,1.60806501582985,1.6297036458691
2.91,1.60804951356556,1.62968099528257
2.911,1.60803401940288,1.62965835574591
2.912,1.60801853333801,1.62963572725366
2.913,1.60800305536718,1.62961310980041
2.914,1.60798758548661,1.62959050338071
2.915,1.6079721236925,1.62956790798913
2.916,1.60795666998107,1.62954532362026
2.917,1.60794122434853,1.62952275026867
2.918,1.6079257867911,1.62950018792895
2.919,1.60791035730497,1.62947763659567
2.92,1.60789493588637,1.62945509626342
2.921,1.6078795225315,1.6294325669268
2.922,1.60786411723656,1.62941004858039
2.923,1.60784871999776,1.62938754121879
2.924,1.6078333308113,1.6293650448366
2.925,1.60781794967339,1.62934255942842
2.926,1.60780257658022,1.62932008498886
2.927,1.607787211528,1.62929762151252
2.928,1.60777185451293,1.62927516899401
2.929,1.6077565055312,1.62925272742794
2.93,1.60774116457901,1.62923029680893
2.931,1.60772583165256,1.6292078771316
2.932,1.60771050674804,1.62918546839057
2.933,1.60769518986166,1.62916307058047
2.934,1.60767988098959,1.62914068369591
2.935,1.60766458012804,1.62911830773154
2.936,1.60764928727319,1.62909594268198
2.937,1.60763400242124,1.62907358854187
2.938,1.60761872556838,1.62905124530586
2.939,1.60760345671079,1.62902891296857
2.94,1.60758819584466,1.62900659152465
2.941,1.60757294296619,1.62898428096876
2.942,1.60755769807156,1.62896198129554
2.943,1.60754246115695,1.62893969249965
2.944,1.60752723221854,1.62891741457574
2.945,1.60751201125253,1.62889514751846
2.946,1.6074967982551,1.62887289132249
2.947,1.60748159322243,1.62885064598248
2.948,1.6074663961507,1.62882841149311
2.949,1.60745120703609,1.62880618784903
2.95,1.60743602587479,1.62878397504494
2.951,1.60742085266297,1.62876177307549
2.952,1.60740568739681,1.62873958193537
2.953,1.6073905300725,1.62871740161927
2.954,1.60737538068621,1.62869523212186
2.955,1.60736023923412,1.62867307343782
2.956,1.60734510571241,1.62865092556187
2.957,1.60732998011724,1.62862878848867
2.958,1.60731486244481,1.62860666221293
2.959,1.60729975269129,1.62858454672935
2.96,1.60728465085284,1.62856244203263
2.961,1.60726955692565,1.62854034811747
2.962,1.60725447090588,1.62851826497858
2.963,1.60723939278972,1.62849619261067
2.964,1.60722432257334,1.62847413100845
2.965,1.6072092602529,1.62845208016663
2.966,1.60719420582459,1.62843004007993
2.967,1.60717915928456,1.62840801074308
2.968,1.60716412062901,1.62838599215079
2.969,1.60714908985408,1.6283639842978
2.97,1.60713406695597,1.62834198717882
2.971,1.60711905193083,1.6283200007886
2.972,1.60710404477484,1.62829802512187
2.973,1.60708904548417,1.62827606017336
2.974,1.60707405405498,1.62825410593781
2.975,1.60705907048346,1.62823216240997
2.976,1.60704409476575,1.62821022958459
2.977,1.60702912689804,1.6281883074564
2.978,1.6070141668765,1.62816639602016
2.979,1.60699921469728,1.62814449527063
2.98,1.60698427035657,1.62812260520256
2.981,1.60696933385052,1.62810072581072
2.982,1.60695440517531,1.62807885708985
2.983,1.6069394843271,1.62805699903473
2.984,1.60692457130206,1.62803515164013
2.985,1.60690966609635,1.62801331490081
2.986,1.60689476870615,1.62799148881155
2.987,1.60687987912763,1.62796967336712
2.988,1.60686499735694,1.6279478685623
2.989,1.60685012339025,1.62792607439188
2.99,1.60683525722374,1.62790429085064
2.991,1.60682039885357,1.62788251793335
2.992,1.6068055482759,1.62786075563482
2.993,1.6067907054869,1.62783900394984
2.994,1.60677587048274,1.62781726287319
2.995,1.60676104325958,1.62779553239968
2.996,1.60674622381359,1.62777381252411
2.997,1.60673141214095,1.62775210324128
2.998,1.6067166082378,1.62773040454599
2.999,1.60670181210033,1.62770871643305
3,1.60668702372469,1.62768703889729
3.001,1.60667224310705,1.6276653719335
3.002,1.60665747024359,1.6276437155365
3.003,1.60664270513046,1.62762206970112
3.004,1.60662794776383,1.62760043442217
3.005,1.60661319813988,1.62757880969449
3.006,1.60659845625476,1.62755719551289
3.007,1.60658372210465,1.62753559187221
3.008,1.60656899568571,1.62751399876727
3.009,1.6065542769941,1.62749241619293
3.01,1.60653956602601,1.627470844144
3.011,1.60652486277759,1.62744928261534
3.012,1.60651016724501,1.62742773160179
3.013,1.60649547942444,1.62740619109819
3.014,1.60648079931205,1.62738466109939
3.015,1.60646612690401,1.62736314160024
3.016,1.60645146219648,1.6273416325956
3.017,1.60643680518563,1.62732013408032
3.018,1.60642215586765,1.62729864604927
3.019,1.60640751423868,1.6272771684973
3.02,1.60639288029491,1.62725570141928
3.021,1.6063782540325,1.62723424481007
3.022,1.60636363544762,1.62721279866455
3.023,1.60634902453645,1.62719136297759
3.024,1.60633442129515,1.62716993774406
3.025,1.6063198257199,1.62714852295885
3.026,1.60630523780687,1.62712711861683
3.027,1.60629065755223,1.62710572471288
3.028,1.60627608495214,1.6270843412419
3.029,1.60626152000279,1.62706296819876
3.03,1.60624696270035,1.62704160557837
3.031,1.60623241304099,1.62702025337561
3.032,1.60621787102088,1.62699891158539
3.033,1.6062033366362,1.62697758020259
3.034,1.60618880988312,1.62695625922212
3.035,1.60617429075782,1.62693494863889
3.036,1.60615977925647,1.62691364844781
3.037,1.60614527537525,1.62689235864377
3.038,1.60613077911034,1.6268710792217
3.039,1.6061162904579,1.62684981017651
3.04,1.60610180941413,1.62682855150312
3.041,1.60608733597519,1.62680730319644
3.042,1.60607287013726,1.62678606525141
3.043,1.60605841189653,1.62676483766293
3.044,1.60604396124916,1.62674362042595
3.045,1.60602951819135,1.62672241353539
3.046,1.60601508271927,1.62670121698619
3.047,1.6060006548291,1.62668003077328
3.048,1.60598623451702,1.6266588548916
3.049,1.60597182177921,1.62663768933609
3.05,1.60595741661187,1.62661653410169
3.051,1.60594301901116,1.62659538918336
3.052,1.60592862897327,1.62657425457603
3.053,1.60591424649439,1.62655313027466
3.054,1.6058998715707,1.62653201627421
3.055,1.60588550419839,1.62651091256962
3.056,1.60587114437363,1.62648981915587
3.057,1.60585679209263,1.6264687360279
3.058,1.60584244735156,1.62644766318069
3.059,1.60582811014661,1.6264266006092
3.06,1.60581378047397,1.6264055483084
3.061,1.60579945832983,1.62638450627327
3.062,1.60578514371038,1.62636347449877
3.063,1.60577083661181,1.62634245297989
3.064,1.60575653703031,1.6263214417116
3.065,1.60574224496207,1.62630044068888
3.066,1.60572796040328,1.62627944990673
3.067,1.60571368335013,1.62625846936012
3.068,1.60569941379883,1.62623749904405
3.069,1.60568515174556,1.62621653895352
3.07,1.60567089718652,1.6261955890835
3.071,1.6056566501179,1.62617464942901
3.072,1.6056424105359,1.62615371998504
3.073,1.60562817843672,1.6261328007466
3.074,1.60561395381655,1.62611189170869
3.075,1.6055997366716,1.62609099286632
3.076,1.60558552699806,1.62607010421449
3.077,1.60557132479214,1.62604922574823
3.078,1.60555713005003,1.62602835746254
3.079,1.60554294276793,1.62600749935245
3.08,1.60552876294206,1.62598665141297
3.081,1.6055145905686,1.62596581363914
3.082,1.60550042564377,1.62594498602596
3.083,1.60548626816378,1.62592416856848
3.084,1.60547211812481,1.62590336126172
3.085,1.6054579755231,1.62588256410071
3.086,1.60544384035483,1.6258617770805
3.087,1.60542971261622,1.62584100019611
3.088,1.60541559230347,1.6258202334426
3.089,1.60540147941281,1.625799476815
3.09,1.60538737394043,1.62577873030835
3.091,1.60537327588255,1.62575799391772
3.092,1.60535918523538,1.62573726763814
3.093,1.60534510199514,1.62571655146468
3.094,1.60533102615803,1.62569584539238
3.095,1.60531695772028,1.6256751494163
3.096,1.6053028966781,1.62565446353152
3.097,1.60528884302771,1.62563378773308
3.098,1.60527479676532,1.62561312201606
3.099,1.60526075788716,1.62559246637552
3.1,1.60524672638944,1.62557182080654
3.101,1.60523270226838,1.62555118530418
3.102,1.60521868552021,1.62553055986353
3.103,1.60520467614115,1.62550994447966
3.104,1.60519067412742,1.62548933914765
3.105,1.60517667947524,1.62546874386259
3.106,1.60516269218084,1.62544815861957
3.107,1.60514871224045,1.62542758341366
3.108,1.60513473965029,1.62540701823997
3.109,1.6051207744066,1.62538646309358
3.11,1.60510681650559,1.62536591796959
3.111,1.60509286594351,1.6253453828631
3.112,1.60507892271658,1.62532485776921
3.113,1.60506498682103,1.62530434268302
3.114,1.6050510582531,1.62528383759964
3.115,1.60503713700903,1.62526334251418
3.116,1.60502322308503,1.62524285742174
3.117,1.60500931647737,1.62522238231745
3.118,1.60499541718226,1.62520191719641
3.119,1.60498152519595,1.62518146205374
3.12,1.60496764051468,1.62516101688458
3.121,1.60495376313468,1.62514058168402
3.122,1.60493989305221,1.62512015644722
3.123,1.60492603026349,1.62509974116928
3.124,1.60491217476478,1.62507933584535
3.125,1.60489832655232,1.62505894047055
3.126,1.60488448562235,1.62503855504002
3.127,1.60487065197113,1.62501817954889
3.128,1.60485682559489,1.62499781399232
3.129,1.60484300648989,1.62497745836544
3.13,1.60482919465238,1.62495711266339
3.131,1.60481539007861,1.62493677688132
3.132,1.60480159276483,1.62491645101439
3.133,1.60478780270729,1.62489613505775
3.134,1.60477401990225,1.62487582900654
3.135,1.60476024434597,1.62485553285594
3.136,1.60474647603469,1.62483524660109
3.137,1.60473271496468,1.62481497023716
3.138,1.6047189611322,1.62479470375932
3.139,1.6047052145335,1.62477444716273
3.14,1.60469147516485,1.62475420044256
3.141,1.60467774302251,1.62473396359399
3.142,1.60466401810275,1.62471373661218
3.143,1.60465027439149,1.62469327261625
3.144,1.60463649277523,1.6246723902594
3.145,1.60462274693327,1.62465179176347
3.146,1.60460901489032,1.62463126902441
3.147,1.6045952679459,1.62461054984549
3.148,1.60458156012058,1.62459015011255
3.149,1.60456786063883,1.62456977724138
3.15,1.60455414872526,1.62454923355263
3.151,1.60454048602883,1.6245291069033
3.152,1.60452683896798,1.62450907749559
3.153,1.60451317713465,1.62448885513221
3.154,1.60449955316591,1.62446893989059
3.155,1.60448593598775,1.62444903572208
3.156,1.60447230708131,1.6244289654886
3.157,1.60445873287145,1.62440935883174
3.158,1.60444517624891,1.62438986293232
3.159,1.60443160339408,1.62437015549761
3.16,1.60441806947043,1.6243507567263
3.161,1.604404539914,1.62433133848544
3.162,1.60439100090583,1.62431176812955
3.163,1.60437746180339,1.62429213247704
3.164,1.60436393147438,1.62427251411384
3.165,1.60435041471249,1.62425295762305
3.166,1.60433690258572,1.62423337833725
3.167,1.60432339147288,1.6242137416285
3.168,1.60430988969435,1.62419412552695
3.169,1.60429639906506,1.62417454693241
3.17,1.60428291179871,1.6241549322947
3.171,1.60426942687798,1.62413527186629
3.172,1.60425595143987,1.62411563289115
3.173,1.60424248520452,1.62409601282213
3.174,1.6042290218248,1.62407635191601
3.175,1.60421556211162,1.62405665794936
3.176,1.60420211174465,1.62403698473704
3.177,1.60418866911102,1.62401731737647
3.178,1.60417522938138,1.62399761060383
3.179,1.60416179450584,1.62397788316649
3.18,1.60414836867121,1.62395817502034
3.181,1.60413494954427,1.62393846458764
3.182,1.60412153373651,1.62391872029913
3.183,1.6041081237689,1.6238989664458
3.184,1.60409472245773,1.6238792301726
3.185,1.60408132721278,1.62385948751542
3.186,1.60406793590784,1.62383971886817
3.187,1.60405455120249,1.62381994991446
3.188,1.60404117475396,1.62380019688912
3.189,1.60402780404073,1.62378043645667
3.19,1.60401443796588,1.62376065873619
3.191,1.60400107902867,1.62374088791484
3.192,1.60398772797501,1.62372113158328
3.193,1.60397438255898,1.62370136895212
3.194,1.60396104246348,1.62368159747967
3.195,1.60394770984663,1.62366183809258
3.196,1.60393438478962,1.62364209202029
